txn_id,user_id,merchant_id,txn_time,amount,device_type,location_id,txn_type,is_fraud
0,1127,123,19727,160.5,Android,2,P2P,0
1,1460,227,23665,2.17,Android,74,P2P,0
2,861,390,31126,535.48,iOS,39,P2P,0
3,1295,444,19481,2111.76,Android,99,P2M,0
4,1131,301,25836,264.46,Android,33,P2P,0
5,1096,428,34101,35.48,iOS,31,BillPay,0
6,1725,83,23549,774.98,iOS,4,P2M,0
7,1045,253,3336,46.25,iOS,67,P2M,0
8,1639,146,8157,565.65,Web,69,P2P,0
9,122,120,36155,384.4,iOS,81,P2M,0
10,467,65,37481,516.13,iOS,13,P2P,0
11,1239,281,31567,142.0,Android,65,P2P,0
12,331,283,37869,75.63,iOS,45,P2M,0
13,1483,391,2431,1105.81,Android,39,P2P,0
14,88,428,33784,225.54,iOS,87,P2M,0
15,1397,106,17025,1289.25,Android,89,P2M,0
16,1124,413,20446,1136.53,Android,53,P2M,0
17,872,479,8507,176.9,iOS,31,P2P,0
18,1688,300,33208,1911.3,iOS,13,P2M,0
19,131,107,17522,140.7,Android,1,P2M,0
20,1686,36,25490,1276.21,Android,98,P2P,0
21,1333,147,38011,436.52,Android,29,P2P,0
22,770,262,35071,161.71,iOS,61,P2P,0
23,344,409,30413,2225.93,iOS,95,P2P,1
24,1516,159,14040,2643.06,Android,72,P2P,0
25,1438,265,38718,572.92,Android,2,P2M,0
26,806,468,7046,506.66,iOS,12,P2M,0
27,386,202,39374,1848.83,Web,56,P2P,0
28,1216,421,36189,725.34,Web,97,P2P,1
29,956,155,18462,247.44,Android,94,P2P,0
30,277,13,38871,442.98,Android,41,P2P,0
31,1185,297,20534,1446.26,Web,27,P2P,0
32,460,384,34968,1570.4,Android,89,P2M,0
33,1338,322,20935,2240.83,Android,38,P2P,0
34,22,498,40995,272.04,iOS,97,P2P,0
35,253,85,9009,911.43,Android,52,P2P,0
36,748,481,1946,56.67,iOS,80,P2P,0
37,857,280,36724,1035.42,iOS,32,P2M,0
38,1585,245,40483,662.62,Web,88,P2P,0
39,475,300,3325,229.9,Android,2,P2M,0
40,1083,362,8699,850.52,Android,66,P2P,0
41,511,354,3745,116.19,iOS,20,P2P,0
42,1706,316,30794,324.94,Android,57,P2M,0
43,1500,9,24544,409.88,iOS,62,P2M,0
44,700,386,21198,1200.96,iOS,91,P2P,0
45,976,247,13489,295.44,Android,86,P2P,0
46,1807,312,22474,40.22,Android,48,P2M,0
47,190,414,18420,159.48,Android,83,P2M,0
48,958,278,2677,749.38,iOS,7,P2P,0
49,687,238,34512,12.29,iOS,67,P2M,0
50,958,203,11175,1257.07,iOS,50,P2P,0
51,563,247,42191,1851.08,Android,34,BillPay,0
52,1900,235,1177,547.19,Android,87,P2P,0
53,1591,81,761,983.79,Android,69,BillPay,0
54,1268,356,37546,496.92,Android,67,P2M,1
55,832,13,6458,295.42,Android,88,BillPay,0
56,1529,327,20110,144.13,Android,91,P2P,0
57,1155,16,42503,584.12,Android,34,P2P,0
58,1509,481,28253,2126.15,iOS,43,P2M,0
59,1843,45,18317,1765.62,Web,21,P2P,0
60,647,321,28433,2016.85,Android,12,P2M,0
61,21,139,7179,2714.89,Android,32,P2P,0
62,841,326,14849,144.6,Web,47,P2P,0
63,167,148,4444,126.75,Web,86,P2P,1
